перен.:разг.:3752
поэт.:разг.:1700
неодобр.:разг.:513
разг.:сниж.:493
перен.:прост.:461
пренебр.:разг.:382
ирон.:разг.:331
прост.:разг.:250
жарг.:перен.:236
книжн.:перен.:230
неодобр.:перен.:200
жарг.:мол.:195
перен.:пренебр.:160
разг.:экспр.:148
неодобр.:прост.:146
жарг.:разг.:139
разг.:фам.:138
разг.:умласк.:133
пренебр.:прост.:112
груб.:прост.:110
презр.:разг.:106
обсц.:экспр.:99
обсц.:перен.:99
вульг.:перен.:97
ирон.:перен.:94
перен.:поэт.:93
разг.:эвф.:89
вульг.:прост.:88
жарг.:пренебр.:85
жарг.:прост.:79
бранн.:перен.:76
ирон.:неодобр.:76
бранн.:прост.:74
ирон.:прост.:72
вульг.:разг.:69
высок.:перен.:67
разг.:унич.:67
диал.:прост.:63
разг.:уменьш.:60
жарг.:неодобр.:60
презр.:прост.:58
груб.:разг.:57
ласк.:разг.:56
обсц.:разг.:56
книжн.:поэт.:55
разг.:прост.:55
груб.:перен.:54
прост.:экспр.:53
бранн.:разг.:53
диал.:разг.:52
жарг.:обсц.:50
разг.:редк.:50
перен.:сниж.:47
перен.:сленг:47
прост.:фам.:45
высок.:книжн.:44
бранн.:обсц.:42
перен.:презр.:41
ирон.:пренебр.:41
неодобр.:обсц.:40
перен.:фам.:39
жарг.:сленг:39
ирон.:обсц.:39
обсц.:прост.:37
мол.:сленг:37
ирон.:книжн.:36
нар.-поэт.:разг.:35
книжн.:неодобр.:35
вульг.:жарг.:34
обсц.:пренебр.:34
жарг.:ирон.:32
жарг.:эвф.:31
высок.:поэт.:31
вульг.:ирон.:31
вульг.:неодобр.:31
перен.:унич.:30
пренебр.:унич.:28
мол.:неодобр.:28
вульг.:экспр.:27
вульг.:пренебр.:27
разг.:сленг:27
прост.:эвф.:26
прост.:сниж.:25
ласк.:уменьш.:25
детск.:разг.:24
диал.:перен.:24
неодобр.:сниж.:24
бранн.:вульг.:24
мол.:разг.:23
ирон.:презр.:23
неодобр.:пренебр.:23
груб.:жарг.:23
обсц.:редк.:23
перен.:редк.:23
жарг.:экспр.:23
вульг.:обсц.:22
бранн.:пренебр.:22
прост.:унич.:22
ирон.:мол.:22
вульг.:эвф.:21
книжн.:разг.:21
бранн.:груб.:20
диал.:обсц.:20
мол.:перен.:19
обсц.:унич.:19
неодобр.:экспр.:19
жарг.:сниж.:18
перен.:эвф.:18
пренебр.:сниж.:18
прост.:обсц.:18
разг.:обсц.:18
жарг.:презр.:18
мол.:экспр.:18
поэт.:прост.:17
груб.:обсц.:17
бранн.:жарг.:16
груб.:пренебр.:16
прост.:сленг:16
разг.:увелич.:16
нар.-поэт.:прост.:16
прост.:редк.:16
презр.:пренебр.:16
жарг.:унич.:15
вульг.:груб.:15
разг.:перен.:15
высок.:ирон.:15
книжн.:офиц.:14
вульг.:мол.:14
ирон.:экспр.:14
сниж.:экспр.:14
обсц.:презр.:14
мол.:прост.:13
перен.:экспр.:13
бранн.:сниж.:13
бранн.:презр.:13
вульг.:сниж.:12
книжн.:экспр.:12
перен.:обсц.:12
разг.:пренебр.:12
диал.:нар.-поэт.:12
прост.:перен.:11
бранн.:эвф.:11
разг.:мол.:11
ирон.:сниж.:11
мол.:обсц.:11
